message,spam/ham,hindi,marathi
good night,spam,शुभ रात्रि,शुभ रात्री
good morning,spam,शुभ प्रभात,शुभ प्रभात
happy diwali,spam,दीपावली की हार्दिक शुभकामनाएं,दिवाळीच्या शुभेच्छा
happy christmas,spam,क्रिसमस की शुभकामना,आनंदी ख्रिसमस
happy new year,spam,नए साल की शुभकामनाएँ,नवीन वर्षाच्या शुभेच्छा
notice,ham,सूचना,सूचना
fraud,spam,धोखा,फसवणूक
alert,spam,चेतावनी,सतर्क
important notice,ham,महत्वपूर्ण सूचना,महत्वाची सूचना
sharechat,spam,शरिचत,शाल
the 27 most popular ai tools 2023,ham,27 सबसे लोकप्रिय एआई उपकरण 2023,27 सर्वात लोकप्रिय एआय टूल्स 2023
time table,ham,समय सारणी,वेळापत्रक
kit,ham,किट,किट
mharastra student invoation challenge,ham,मारास्ट्रा छात्र चालान चुनौती,मारास्ट्रा स्टुडंट इन्व्होएशन चॅलेंज
hackathon,ham,आयोजित हैकथॉन,हॅकॅथॉन
kaun banega corepati,spam,कौन बनेगा केपति,कोण वाष्प होईल
happy holi,spam,होली की शुभकामनाएं,होळीच्या शुभेच्छा
happy rakshabandhan,spam,हैप्पी रक्षाबंधन,आनंदी रक्षाबंधन
happy dussehera,spam,हैप्पी दशहरा,आनंदी दीसेहरा
happy independence day,spam,स्वतंत्रता दिवस की शुभकामनाएं,स्वातंत्र्य दिनाच्या शुभेच्छा
happy republic day,spam,हैप्पी रिपब्लिक डे,रिपब्लिक डे शुभेच्छा
happy friendship day,spam,आपके लिए मित्रता दिवस मंगलमय हो,मैत्री दिवसाच्या शुभेच्छा
happy Sunday,spam,रविवार मुबारक हो,शुभ रविवार
rummy circle,spam,रम्मी सर्कल,रम्मी सर्कल
junglee rummy,spam,कंजूस,जंगली रमी
happy makarsankranti,spam,हैप्पी मकरसांकरंती,हॅपी मकरासंक्रांती
happy valentine day,spam,हैप्पी वेलेंटाइन दिन,व्हॅलेंटाईन डे हार्दिक शुभेच्छा
happy rose day,spam,हैप्पी रोज डे,गुलाब दिवसाच्या शुभेच्छा
happy birthday,spam,जन्मदिन की शुभकामनाएँ,वाढदिवसाच्या हार्दिक शुभेच्छा
happy anniversary,spam,सालगिरह मुबारक,वर्धापन दिन शुभेच्छा
happy,spam,खुश,आनंदी
happy ramjan id,spam,हैप्पी रमजान ईद,रमजान ईदच्या शुभेच्छा
happy enviroment day,spam,हैप्पी एनवायरनमेंट डे,पर्यावरण दिवसाच्या शुभेच्छा
day,spam,दिन,दिवस
congratulations,spam,बधाई हो,अभिनंदन
we're hiring interns,ham,हम इंटर्न को काम पर रख रहे हैं,आम्ही इंटर्न भाड्याने घेत आहोत
we arre hiring,ham,हम भर्ती कर रहे हैं,आम्ही भाड्याने घेत आहोत
blood donation,ham,रक्तदान,रक्तदान
register now,ham,अभी पंजीकरण करें,अाता नोंदणी करा
eye checkup,ham,नेत्र की जाँच,डोळा तपासणी
"Machine learning is type of AI that enables effectively growing and
predicting outcomes using various domain such as mathematics
computer science to build machine learning model.",ham,"मशीन लर्निंग एआई का प्रकार है जो प्रभावी रूप से बढ़ने में सक्षम बनाता है और
गणित जैसे विभिन्न डोमेन का उपयोग करके परिणामों की भविष्यवाणी करना
मशीन लर्निंग मॉडल बनाने के लिए कंप्यूटर विज्ञान।","मशीन लर्निंग हा एआयचा प्रकार आहे जो प्रभावीपणे वाढण्यास सक्षम करतो आणि
गणितासारख्या विविध डोमेनचा वापर करून निकालांचा अंदाज
मशीन लर्निंग मॉडेल तयार करण्यासाठी संगणक विज्ञान."
"Supervised learning is a type of machine learning method in which we
provide sample labeled data to the machine learning system in order to
train it, and on that basis, it predicts the output.",ham,"पर्यवेक्षित शिक्षा एक प्रकार की मशीन सीखने की विधि है जिसमें हम
मशीन लर्निंग सिस्टम को नमूना लेबल डेटा प्रदान करें
इसे प्रशिक्षित करें, और उस आधार पर, यह आउटपुट की भविष्यवाणी करता है।","पर्यवेक्षी शिक्षण ही एक मशीन शिक्षण पद्धत आहे ज्यामध्ये आम्ही
मशीन लर्निंग सिस्टमला नमुना लेबल केलेला डेटा प्रदान करा
त्यास प्रशिक्षण द्या आणि त्या आधारावर, ते आउटपुटचा अंदाज लावते."
Ok lar... Joking wif u oni.,ham,ठीक है लार ... मजाक wif u oni।,ठीक आहे ...
Even my brother is not like to speak with me. They treat me like aids patent.,ham,यहां तक कि मेरा भाई मेरे साथ बात करना पसंद नहीं करता है।वे मुझे एड्स पेटेंट की तरह मानते हैं।,माझ्या भावालाही माझ्याशी बोलायला आवडत नाही.ते माझ्याशी एड्स पेटंटसारखे वागतात.
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enou…",ham,"मैं जल्द ही घर जा रहा हूँ और मैं आज रात इस सामान के बारे में बात नहीं करना चाहता, के?मैं रोया enou…","मी लवकरच घरी येणार आहे आणि मला आज रात्री या सामग्रीबद्दल बोलायचे नाही, के?मी रडलो आहे एनो…"
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6day.",spam,"नकद जीतने के छह मौके!100 से 20,000 पाउंड txt> csh11 और 87575 पर भेजें। लागत 150p/दिन, 6 दिन।","रोख जिंकण्याची सहा संधी!100 ते 20,000 पौंड टेक्स्ट> सीएसएच 11 पर्यंत आणि 87575 वर पाठवा. 150 पी/दिवस, 6 दिवस."
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to ...",spam,"अति आवश्यक!आपने हमारे £ 100,000 पुरस्कार जैकपॉट में 1 सप्ताह की मुफ्त सदस्यता जीती है!शब्द txt: दावा करने के लिए ...","तातडीचे!आमच्या £ 100,000 बक्षीस जॅकपॉटमध्ये आपण 1 आठवड्याचे विनामूल्य सदस्यता जिंकली आहे!टेक्स्ट हा शब्द: दावा ..."
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> h..",spam,"XXXMOBILEMOVIECLUB: अपने क्रेडिट का उपयोग करने के लिए, अगले TXT संदेश में WAP लिंक पर क्लिक करें या यहां क्लिक करें >> H ..","Xxxmobilemoveiclub: आपली क्रेडिट वापरण्यासाठी, पुढील टीएक्सटी संदेशातील डब्ल्यूएपी दुव्यावर क्लिक करा किंवा येथे क्लिक करा >> एच .."
Fine if that’s the way u feel. That’s the way its gota b,ham,ठीक है अगर वह जिस तरह से आपको लगता है।इस तरह से इसके गोटा बी,जर तुम्हाला असे वाटत असेल तर ठीक आहे.हेच त्याचा गोटा बी आहे
